,Brand,Model,Price,Location,Engine,Model Year,Fuel Type,Road Trip
225,Harley-Davidson,Harley-Davidson 1200 Custom ,"7,21,000",mumbai, 120,2018,petrol,"5,000"
226,Triumph,Triumph Street Twin 900cc ,"6,43,750",mumbai, 900cc,2017,petrol,"11,091"
227,Kawasaki,Kawasaki Ninja 650cc ,"3,86,250",mumbai, 650cc,2017,petrol,"6,243"
228,Benelli,Benelli TNT 25 250cc ,"1,15,000",hyderabad, 25 ,2017,petrol,"4,965"
229,Kawasaki,Kawasaki Ninja 650cc ,"4,63,500",hyderabad, 650cc,2019,petrol,"5,700"
230,Kawasaki,Kawasaki Ninja 300cc ,"2,31,750",mumbai, 300cc,2019,petrol,"14,000"
231,Harley-Davidson,Harley-Davidson Iron 883 ,"5,98,000",mumbai, 883,2015,petrol,"17,000"
232,Kawasaki,Kawasaki Versys 650cc ,"7,54,000",bangalore, 650cc,2020,petrol,"3,500"
233,Royal,Royal Enfield Interceptor 650cc ,"2,60,000",mumbai, 650cc,2019,petrol,"17,000"
234,Benelli,Benelli TNT 25 250cc ,"2,00,000",mumbai, 25 ,2016,petrol,"2,400"
235,BenelliImperiale,BenelliImperiale 400 BS6 ,"2,07,000",mumbai, 400,2020,petrol,"6,500"
236,Husqvarna,Husqvarna Vitpilen 401 ,"2,40,000",mumbai, 401,2021,petrol,"9,700"
237,Kawasaki,Kawasaki Ninja 300cc ,"3,01,600",mumbai, 300cc,2019,petrol,"8,800"
238,Suzuki,Suzuki Hayabusa 1300cc ,"13,00,000",mumbai, 1300cc,2017,petrol,"13,400"
239,Kawasaki,Kawasaki Z900 ,"9,88,000",mumbai,,2020,petrol,"2,150"
240,Kawasaki,Kawasaki Z650 ,"4,41,500",mumbai,,2018,petrol,"22,950"
241,Kawasaki,Kawasaki Z650 ,"4,62,300",mumbai,,2020,petrol,"13,300"
242,Triumph,Triumph Street Triple 765 ,"8,05,500",mumbai, 765,2018,petrol,"3,600"
243,Kawasaki,Kawasaki ER-6n 650cc ,"2,85,500",mumbai, 650cc,2015,petrol,"28,650"
244,Kawasaki,Kawasaki Z800 ,"5,66,300",hyderabad,,2015,petrol,"10,450"
245,Royal,Royal Enfield Interceptor 650cc ,"2,54,300",bangalore, 650cc,2019,petrol,"2,000"
246,BMW,BMW G 310 R ,"2,75,100",mumbai, 310 R,2019,petrol,"11,000"
247,Benelli,Benelli TNT 600 GT ,"4,25,900",mumbai, 600,2016,petrol,"2,000"
248,Ducati,Ducati Diavel 1200cc ,"7,58,700",mumbai, 1200cc,2015,petrol,"16,000"
249,Kawasaki,Kawasaki Vulcan S 650cc ,"4,93,500",, 650cc,2018,petrol,"2,300"
250,Triumph,Triumph Tiger Explorer ,"9,09,500",mumbai,,2015,petrol,"7,000"
251,Kawasaki,Kawasaki Ninja 400 ,"4,41,500",mumbai, 400,2019,petrol,"9,100"
252,BMW,BMW G 310 GS BS6 ,"2,69,900",mumbai, 310 GS,2020,petrol,"10,000"
253,Royal,Royal Enfield Interceptor 650cc ,"3,01,100",mumbai, 650cc,2019,petrol,"15,000"
254,Triumph,Triumph Bonneville T100 900cc ,"8,31,500",mumbai, 900cc,2020,petrol,"21,000"
255,Triumph,Triumph Street Twin 900cc ,"7,27,500",mumbai, 900cc,2019,petrol,"16,000"
256,Benelli,Benelli TNT 600i ,"5,97,500",mumbai, 600i,2018,petrol,"12,000"
257,Royal,Royal Enfield Continental GT 650cc ,"3,10,460",mumbai, 650cc,2020,petrol,"13,000"
258,Royal,Royal Enfield Interceptor 650cc ,"3,01,100",mumbai, 650cc,2019,petrol,"13,000"
259,Royal,Royal Enfield Interceptor 650cc ,"2,44,500",mumbai, 650cc,2019,petrol,"17,000"
260,Royal,Royal Enfield Interceptor 650cc ,"2,39,200",mumbai, 650cc,2019,petrol,"17,000"
261,Harley-Davidson,Harley-Davidson 1200 Custom ,"7,28,000",mumbai, 120,2018,petrol,"16,000"
262,Royal,Royal Enfield Interceptor 650cc ,"2,85,000",mumbai, 650cc,2019,petrol,"14,000"
263,Royal,Royal Enfield Interceptor 650cc ,"2,90,000",mumbai, 650cc,2019,petrol,"18,000"
264,Royal,Royal Enfield Continental GT 650cc ,"3,00,000",mumbai, 650cc,2019,petrol,"12,000"
265,Royal,Royal Enfield Continental GT 650cc ,"2,85,500",mumbai, 650cc,2019,petrol,"5,500"
266,Harley-Davidson,Harley-Davidson Street 750 ABS ,"3,99,900",mumbai, 750 ABS,2018,petrol,"7,000"
267,Kawasaki,Kawasaki Ninja 300cc ,"2,33,500",mumbai, 300cc,2016,petrol,"5,500"
268,Kawasaki,Kawasaki Ninja 650cc ,"2,43,900",mumbai, 650cc,2013,petrol,"13,000"
