Unnamed: 0,Brand,Model,Price,Location,Engine,Model Year,Fuel Type,Road Trip,Model_Year
249,Kawasaki,Kawasaki Vulcan S 650cc ,493500,,650cc,2018,petrol,2300,2018
250,Triumph,Triumph Tiger Explorer ,909500,mumbai,650cc,2015,petrol,7000,2015
251,Kawasaki,Kawasaki Ninja 400 ,441500,mumbai,400cc,2019,petrol,9100,2019
252,BMW,BMW G 310 GS BS6 ,269900,mumbai,310cc,2020,petrol,10000,2020
253,Royal,Royal Enfield Interceptor 650cc ,301100,mumbai,650cc,2019,petrol,15000,2019
254,Triumph,Triumph Bonneville T100 900cc ,831500,mumbai,900cc,2020,petrol,21000,2020
255,Triumph,Triumph Street Twin 900cc ,727500,mumbai,900cc,2019,petrol,16000,2019
256,Benelli,Benelli TNT 600i ,597500,mumbai,600cc,2018,petrol,12000,2018
257,Royal,Royal Enfield Continental GT 650cc ,310460,mumbai,650cc,2020,petrol,13000,2020
258,Royal,Royal Enfield Interceptor 650cc ,301100,mumbai,650cc,2019,petrol,13000,2019
259,Royal,Royal Enfield Interceptor 650cc ,244500,mumbai,650cc,2019,petrol,17000,2019
260,Royal,Royal Enfield Interceptor 650cc ,239200,mumbai,650cc,2019,petrol,17000,2019
261,Harley-Davidson,Harley-Davidson 1200 Custom ,728000,mumbai,120cc,2018,petrol,16000,2018
262,Royal,Royal Enfield Interceptor 650cc ,285000,mumbai,650cc,2019,petrol,14000,2019
263,Royal,Royal Enfield Interceptor 650cc ,290000,mumbai,650cc,2019,petrol,18000,2019
264,Royal,Royal Enfield Continental GT 650cc ,300000,mumbai,650cc,2019,petrol,12000,2019
265,Royal,Royal Enfield Continental GT 650cc ,285500,mumbai,650cc,2019,petrol,5500,2019
266,Harley-Davidson,Harley-Davidson Street 750 ABS ,399900,mumbai,750cc,2018,petrol,7000,2018
267,Kawasaki,Kawasaki Ninja 300cc ,233500,mumbai,300cc,2016,petrol,5500,2016
268,Kawasaki,Kawasaki Ninja 650cc ,243900,mumbai,650cc,2013,petrol,13000,2013
269,Harley-Davidson,Harley-Davidson Fat Bob ,625000,bangalore,650cc,2014,petrol,25000,2014
270,Triumph,Triumph Bonneville T100 900cc ,389500,mumbai,900cc,2015,petrol,7500,2015
271,Triumph,Triumph Street Triple 675cc ,467500,mumbai,675cc,2015,petrol,7500,2015
272,Harley-Davidson,Harley-Davidson Street 750 ,425900,bangalore,750cc,2019,petrol,24000,2019
273,Kawasaki,Kawasaki Z900 ,883500,bangalore,650cc,2019,petrol,7500,2019
274,Hyosung,Hyosung Aquila Pro GV650 ,285500,,650cc,2020,petrol,10000,2020
275,BMW,BMW G 310 R ,243900,bangalore,310cc,2019,petrol,4900,2019
276,Benelli,Benelli TNT 600i ,467500,mumbai,600cc,2018,petrol,6300,2018
277,Harley-Davidson,Harley-Davidson Fat Boy ,987500,mumbai,650cc,2014,petrol,7300,2014
278,Kawasaki,Kawasaki Versys 650cc ,649500,mumbai,650cc,2018,petrol,3500,2018
279,Kawasaki,Kawasaki Versys 650cc ,624500,mumbai,650cc,2018,petrol,14000,2018
280,Harley-Davidson,Harley-Davidson Iron 883 ,449500,mumbai,883cc,2014,petrol,3250,2014
281,Royal,Royal Enfield Interceptor 650cc BS6 ,281500,mumbai,650cc,2020,petrol,13000,2020
282,Royal,Royal Enfield Interceptor 650cc ,254500,mumbai,650cc,2019,petrol,3200,2019
283,Royal,Royal Enfield Continental GT 650cc ,305710,mumbai,650cc,2020,petrol,2150,2020
284,Harley-Davidson,Harley-Davidson XG750 750cc ,465500,mumbai,750cc,2018,petrol,11100,2018
